iter	Passed	Remaining
909	44097	198197
910	44147	198154
911	44191	198085
912	44234	198013
913	44279	197948
914	44319	197863
915	44368	197819
916	44413	197755
917	44459	197693
918	44506	197638
919	44560	197614
920	44608	197566
921	44656	197513
922	44707	197479
923	44759	197447
924	44805	197385
925	44854	197340
926	44901	197286
927	44956	197267
928	44998	197189
929	45047	197145
930	45090	197069
931	45138	197019
932	45188	196977
933	45231	196906
934	45280	196861
935	45331	196822
936	45377	196766
937	45428	196728
938	45479	196691
939	45520	196610
940	45567	196556
941	45618	196519
942	45666	196467
943	45709	196397
944	45749	196311
945	45802	196282
946	45844	196205
947	45885	196127
948	45937	196094
949	45984	196039
950	46033	195993
951	46082	195948
952	46131	195899
953	46180	195855
954	46227	195801
955	46286	195796
956	46333	195743
957	46369	195641
958	46418	195596
959	46467	195551
960	46517	195507
961	46563	195450
962	46614	195413
963	46662	195363
964	46710	195314
965	46761	195277
966	46804	195205
967	46856	195172
968	46907	195131
969	46961	195109
970	47012	195070
971	47064	195038
972	47107	194965
973	47150	194893
974	47194	194829
975	47251	194814
976	47289	194722
977	47337	194674
978	47384	194620
979	47432	194571
980	47481	194522
981	47521	194441
982	47565	194374
983	47609	194306
984	47661	194274
985	47717	194258
986	47753	194157
987	47797	194090
988	47849	194057
989	47900	194019
990	47949	193973
991	47998	193928
992	48042	193863
993	48092	193822
994	48130	193730
995	48184	193705
996	48238	193680
997	48291	193648
998	48340	193604
999	48395	193580
1000	48434	193497
1001	48482	193447
1002	48533	193407
1003	48580	193355
1004	48621	193278
1005	48667	193218
1006	48711	193151
1007	48755	193088
1008	48809	193059
1009	48857	193010
1010	48904	192957
1011	48954	192915
1012	49000	192857
1013	49051	192818
1014	49100	192775
1015	49147	192718
1016	49196	192676
1017	49240	192607
1018	49287	192554
1019	49339	192519
1020	49390	192480
1021	49442	192448
1022	49492	192405
1023	49537	192344
1024	49585	192295
1025	49632	192242
1026	49679	192188
1027	49724	192127
1028	49769	192064
1029	49817	192015
1030	49865	191964
1031	49909	191898
1032	49959	191858
1033	50007	191809
1034	50059	191772
1035	50110	191737
1036	50161	191697
1037	50213	191661
1038	50260	191609
1039	50310	191567
1040	50353	191496
1041	50401	191448
1042	50449	191400
1043	50496	191344
1044	50547	191307
1045	50594	191253
1046	50634	191172
1047	50685	191134
1048	50736	191094
1049	50784	191045
1050	50834	191003
1051	50878	190939
1052	50925	190887
1053	50972	190834
1054	51017	190772
1055	51065	190723
1056	51117	190687
1057	51161	190622
1058	51211	190579
1059	51253	190507
1060	51309	190488
1061	51357	190440
1062	51407	190397
1063	51457	190352
1064	51503	190296
1065	51552	190252
1066	51604	190214
